username,rank_num,star_num
bramstein,867,7313
jigish,868,7307
michaeltyson,869,7297
jonobr1,870,7292
litesuits,871,7271
motemen,872,7249
andrewrk,873,7247
vvo,874,7232
evilstreak,875,7223
hpneo,876,7208
ircmaxell,877,7201
xufei,878,7197
puikinsh,879,7172
pa7,880,7171
samccone,881,7167
FlexMonkey,882,7162
0xced,883,7150
yangfuhai,884,7143
HotBitmapGG,885,7124
BorisMoore,886,7110
visualfc,887,7100
JoelBesada,888,7088
fatiherikli,889,7082
christianalfoni,890,7076
chriskiehl,890,7076
rhiever,892,7068
rnystrom,893,7066
chieffancypants,894,7064
davidsonfellipe,895,7052
sjl,896,7051
Raynos,897,7050
matthew-andrews,898,7045
lynndylanhurley,899,7044
kylef,900,7043
dnschneid,901,7042
tonymillion,902,7040
cloudhead,903,7028
jverdi,904,7026
indragiek,905,6990
ManuelPeinado,906,6982
nesquena,907,6979
tjanczuk,908,6945
needim,909,6941
joshuaclayton,910,6924
JakeLin,911,6921
Marxon13,912,6916
vodkabears,913,6879
jeresig,914,6878
guo-yu,915,6853
borismus,916,6847
rvagg,917,6841
ttscoff,918,6837
josephg,919,6834
millermedeiros,920,6822
Wscats,921,6818
thebird,922,6797
tsenart,923,6770
jlongster,924,6764
tangqiaoboy,925,6760
wentin,926,6757
rcrowley,927,6747
liftoff,928,6733
bfirsh,929,6730
skwp,930,6727
snowdream,931,6713
bergie,932,6705
MortimerGoro,933,6701
liuliu,934,6699
omz,934,6699
jbranchaud,936,6694
inferjay,937,6686
imsky,938,6673
rmurphey,939,6659
sergeche,940,6651
JuanitoFatas,941,6643
airblade,942,6641
norman,943,6635
meltingice,944,6627
samvermette,945,6610
keithwhor,946,6596
garbles,947,6581
sephiroth74,948,6575
ichord,949,6568
romainguy,950,6567
Eonasdan,951,6555
fat,951,6555
mleibman,953,6533
tommoor,954,6515
stubbornella,954,6515
Boris-Em,956,6508
chentao0707,957,6435
erichoracek,958,6409
johnezang,958,6409
pazguille,960,6383
jaysalvat,961,6370
zhxnlai,962,6366
dcramer,963,6354
lightSky,964,6323
stephanenicolas,965,6315
epoberezkin,966,6308
pokeb,967,6280
clayallsopp,968,6265
nzakas,969,6245
mjackson,970,6235
jedi4ever,971,6233
AugustRush,972,6214
alexdrone,973,6206
kriswallsmith,974,6202
iawia002,975,6200
SimonVT,976,6174
ldoublem,977,6138
SlexAxton,978,6127
timjacobi,979,6092
aziz,980,6057
schneiderandre,981,6043
adamwulf,982,6032
questbeat,983,6031
faye,984,6016
arunoda,985,5967
svenfuchs,986,5907
levey,987,5881
johnmyleswhite,988,5846
aterrien,989,5839
jed,990,5812
jindongwang,991,5789
nate-parrott,992,5787
ddevault,993,5777
techfort,994,5752
joemccann,995,5725
luis-almeida,996,5712
nickoneill,997,5702
b4winckler,998,5673
benhmoore,999,5652
thomasdavis,1000,5633
